"SYMBOL","Model"
"Hinfp","HINFP_MOUSE.H11MO.0.C"
"Etv5","ETV5_MOUSE.H11MO.0.D"
"E2f4","E2F4_MOUSE.H11MO.0.A"
"E2f4","E2F4_MOUSE.H11MO.1.A"
"Ovol2","OVOL2_MOUSE.H11MO.0.C"
"Hivep1","ZEP1_MOUSE.H11MO.0.D"
"Nr3c2","MCR_MOUSE.H11MO.0.D"
"Cebpe","CEBPE_MOUSE.H11MO.0.A"
"Foxp2","FOXP2_MOUSE.H11MO.0.A"
"Nr0b1","NR0B1_MOUSE.H11MO.0.D"
"Ahr","AHR_MOUSE.H11MO.0.B"
"Aire","AIRE_MOUSE.H11MO.0.C"
"Nr2f2","COT2_MOUSE.H11MO.0.A"
"Nr2f2","COT2_MOUSE.H11MO.1.B"
"Nr2f2","COT2_MOUSE.H11MO.2.B"
"Ar","ANDR_MOUSE.H11MO.0.A"
"Ar","ANDR_MOUSE.H11MO.1.A"
"Arnt","ARNT_MOUSE.H11MO.0.B"
"Arnt2","ARNT2_MOUSE.H11MO.0.D"
"Arntl","BMAL1_MOUSE.H11MO.0.A"
"Zfhx3","ZFHX3_MOUSE.H11MO.0.D"
"Atf1","ATF1_MOUSE.H11MO.0.B"
"Atf2","ATF2_MOUSE.H11MO.0.A"
"Atf3","ATF3_MOUSE.H11MO.0.A"
"Atf4","ATF4_MOUSE.H11MO.0.A"
"Atoh1","ATOH1_MOUSE.H11MO.0.B"
"Neurog2","NGN2_MOUSE.H11MO.0.C"
"Bach1","BACH1_MOUSE.H11MO.0.C"
"Bach2","BACH2_MOUSE.H11MO.0.A"
"Nkx3-2","NKX32_MOUSE.H11MO.0.B"
"Barx1","BARX1_MOUSE.H11MO.0.C"
"Barx2","BARX2_MOUSE.H11MO.0.D"
"Bcl6","BCL6_MOUSE.H11MO.0.A"
"Prdm1","PRDM1_MOUSE.H11MO.0.A"
"Brca1","BRCA1_MOUSE.H11MO.0.D"
"Klf5","KLF5_MOUSE.H11MO.0.A"
"Nr1i3","NR1I3_MOUSE.H11MO.0.C"
"Nr1i3","NR1I3_MOUSE.H11MO.1.D"
"Runx2","RUNX2_MOUSE.H11MO.0.A"
"Runx1","RUNX1_MOUSE.H11MO.0.A"
"Runx3","RUNX3_MOUSE.H11MO.0.A"
"Cbfb","PEBB_MOUSE.H11MO.0.C"
"Cdx1","CDX1_MOUSE.H11MO.0.C"
"Cdx2","CDX2_MOUSE.H11MO.0.A"
"Cebpa","CEBPA_MOUSE.H11MO.0.A"
"Cebpz","CEBPZ_MOUSE.H11MO.0.D"
"Cebpb","CEBPB_MOUSE.H11MO.0.A"
"Cebpd","CEBPD_MOUSE.H11MO.0.B"
"Cebpg","CEBPG_MOUSE.H11MO.0.B"
"Vsx2","VSX2_MOUSE.H11MO.0.C"
"Clock","CLOCK_MOUSE.H11MO.0.C"
"Creb1","CREB1_MOUSE.H11MO.0.A"
"Crem","CREM_MOUSE.H11MO.0.C"
"Crx","CRX_MOUSE.H11MO.0.A"
"Ctcf","CTCF_MOUSE.H11MO.0.A"
"Cux1","CUX1_MOUSE.H11MO.0.C"
"Cux2","CUX2_MOUSE.H11MO.0.C"
"Dbp","DBP_MOUSE.H11MO.0.B"
"Ddit3","DDIT3_MOUSE.H11MO.0.C"
"Dlx2","DLX2_MOUSE.H11MO.0.D"
"Dlx3","DLX3_MOUSE.H11MO.0.C"
"Dlx5","DLX5_MOUSE.H11MO.0.C"
"Arid3a","ARI3A_MOUSE.H11MO.0.D"
"E2f1","E2F1_MOUSE.H11MO.0.A"
"E2f3","E2F3_MOUSE.H11MO.0.A"
